City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
147,formiga,BR,82.27,overcast clouds,-20.4644,-45.4264,Victor Plaza Hotel
151,tazmalt,DZ,86.94,scattered clouds,36.3868,4.3989,Hôtel Numédia
152,atuona,PF,80.33,overcast clouds,-9.8,-139.0333,Villa Enata
159,yenagoa,NG,81.97,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
162,wanning,CN,82.27,broken clouds,18.8003,110.3967,Paradise Hotel
169,sampit,ID,76.64,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
170,victoria,HK,87.33,overcast clouds,22.2855,114.1577,Mini Hotel Central
174,marsh harbour,BS,79.72,clear sky,26.5412,-77.0636,Abaco Beach Resort
178,touros,BR,88.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
181,ocho rios,JM,85.75,clear sky,18.4025,-77.1048,Rooms Ocho Rios Hotel
182,ambon,ID,79.99,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
183,muros,ES,79.3,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
187,bangkalan,ID,82.35,overcast clouds,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
188,vila velha,BR,87.75,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
189,komsomolskiy,UZ,84.92,scattered clouds,40.4272,71.7189,Ikathouse
191,dingle,PH,78.53,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
197,vanimo,PG,78.46,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
198,merauke,ID,75.29,broken clouds,-8.4667,140.3333,
204,itoman,JP,75.97,light rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
206,kalmunai,LK,83.21,scattered clouds,7.4167,81.8167,VS Villa
207,saint-georges,GD,85.68,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
211,mayumba,GA,77.77,scattered clouds,-3.432,10.6554,LIKWALE LODGE
214,mangaluru,IN,79.66,broken clouds,12.8667,74.8833,Goldfinch Mangaluru
217,bonfim,BR,77.41,overcast clouds,3.0833,-59.95,
218,champasak,LA,80.33,overcast clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
221,bengkulu,ID,76.8,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
223,ollioules,FR,75.92,overcast clouds,43.1352,5.848,Zenitude Hôtel-Résidences Toulon Six Fours
229,georgetown,MY,85.89,few clouds,5.4112,100.3354,Cititel Penang
231,butterworth,MY,86.0,few clouds,5.3991,100.3638,Cititel Penang
232,cabra,ES,85.44,overcast clouds,37.4725,-4.4421,MS Fuente Las Piedras
233,ishigaki,JP,79.7,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
234,umm lajj,SA,85.6,clear sky,25.0213,37.2685,Moon light Furnished Units
236,martapura,ID,77.09,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
